id_skj;nama_skj
skj1;Advokasi Kebijakan Perpajakan
skj2;Analisis Data
skj3;Analisis Hasil Pengawasan
skj4;Analisis Hukum Internasional
skj5;Analisis Kebijakan Publik di Bidang Keuangan Negara
skj6;Analisis Kepatuhan Wajib Pajak
skj7;Analisis Pemberian Bantuan Hukum
skj8;Analisis Potensi Pajak
skj9;Analisis Potensi Wajib Pajak
skj10;Analisis Profil Risiko Wajib Pajak
skj11;Analisis Proses Bisnis Mitra Pengawasan
skj12;Dukungan Kegiatan Investigasi
skj13;Ekstensifikasi
skj14;Forensik Digital Perpajakan
skj15;Intelijen Perpajakan
skj16;Manajemen Audit Intern
skj17;Negosiasi
skj18;Pelaksanaan Audit Intern
skj19;Pelaksanaan Audit Investigasi
skj20;Pelaksanaan Standar Audit
skj21;Pelaksanaan Tindakan Penagihan Pajak
skj22;Pembinaan Disiplin Pegawai
skj23;Pemeriksaan Pajak
skj24;Penanganan Keberatan-Non Keberatan
skj25;Penanganan Perkara
skj26;Penatausahaan Penagihan Pajak
skj27;Pengelolaan Hubungan Dengan Pemangku Kepentingan yang terkait dengan Bidang Perpajakan
skj28;Pengelolaan Pengaduan Masyarakat di Bidang Perpajakan
skj29;Pengelolaan Walidata Pemerintah
skj30;Penyidikan Perpajakan
skj31;Penyusunan Kebijakan Perpajakan
skj32;Profiling Wajib Pajak
