nama_pelatihan;penyelenggara;tahun
Diklat Fungsional Pemeriksa Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
Diklat Teknis Substantif Spesialisasi Pemeriksa Pajak Daerah ;Pusat Pendidikan dan Pelatihan Pajak;2018
DTS Perpajakan Menengah ;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Account Representative Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Analis IDLP Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Forensik Digital Perpajakan Menengah;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Juru Sita Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Juru Sita Pajak Lanjutan ;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Jurusita Pajak Daerah Kerja Sama Program Diklat Pusdiklat Pajak-BPPK Dengan Pemerintah Kota Padang;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Data dan Informasi ;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Ekstensifikasi dan Penyuluhan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Keberatan dan Banding;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Pelayanan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Pengawasan dan Konsultasi (WASKON) II, III dan IV (Pengawasan);Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen Pengawasan dan Konsultasi I (Pelayanan);Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Manajemen PPNS;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Operator Console Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Pemeriksa Pajak Daerah Kerja Sama Program Diklat Pusdiklat Pajak-BPPK Dengan Pemerintah Kota Padang;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Pemeriksaan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Penelaah Keberatan Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Pengumpulan Data dan/atau Informasi Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Pengumpulan Data dan/atau Informasi Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Penyuluh Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Perpajakan untuk Pegawai non DJP;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Petugas Ekstensifikasi;Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS Petugas Tempat Pelayanan Terpadu (TPT);Pusat Pendidikan dan Pelatihan Pajak;2018
DTSS PPNS;Pusat Pendidikan dan Pelatihan Pajak;2018
