id_program;nama_program;pusdiklat;tahun
PR1;3rd WCO RTC Indonesia International Conference: Customs Role on Sustainability and Digital Economy;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
PR2;Academic Forum Series #1: Omnibus Law UU Cipta Kerja: Konsep, Metodologi Dan Implementasi;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR3;Academic Forum Series #2: “Penyusunan Rancangan Peraturan Pemerintah (RPP) Pelaksanaan UU Cipta Kerja yang Terkait Tugas dan Fungsi Kementerian Keuangan”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR4;Alumni Sharing Session: Aligning Your Education With Your Passion;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
PR5;Alumni Sharing Session: Beasiswa dari Negeri Sakura;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR6;Alumni Sharing Session: Preparing Your Ph.D Journey;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2020
PR7;ANGKRINGAN (Ayo Ngobrol Anti Korupsi dengan Ringan) #Seri 6: Menakar Integritas dalam Konflik Kepentingan ASN”;Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
PR8;ASEAN Workshop on Customs Valuation;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR9;ASEAN WORKSHOP ON POST CLEARANCE AUDIT “ Increasing the Efffectiveness of PCA Through Customs and Tax Cooperation”;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR10;ASEAN Workshop on Transfer Pricing In Customs Compliance Perspective;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR11;Asia/Pacific Training on Passenger Control (Narco Terrorism);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR12;Bimbingan Teknis Pemasaran Digital dan Pembukuan bagi UMKM;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR13;Bimbingan Teknis Penelitian dalam Rangka Penyusunan Kajian Akademis Pusdiklat KNPK Tahun Anggaran 2022;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2022
PR14;DF AUDITOR KEPABEANAN DAN CUKAI;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR15;DF Peneliti Dokumen Tingkat Ahli;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
