nama_pelatihan;kompetensi_1;kompetensi_2;kompetensi_3;kompetensi_4;kompetensi_5;kompetensi_6;kompetensi_7
E-Learning Analisis Laporan Keuangan dan Surat Pemberitahuan (ALK dan SPT) Dasar (Open Access);Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-Learning Analisis Laporan Keuangan dan Surat Pemberitahuan (ALK dan SPT) Dasar (Seri);Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-Learning Pajak Dasar;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Profiling Wajib Pajak;
E-learning Penagihan Pajak Daerah (Open Access-Public);Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Pengantar E-Audit Perpajakan;Pemeriksaan Pajak;;;;;;
E-learning Pengantar Hukum dan Teknologi Informasi untuk Forensik Digital Perpajakan;Forensik Digital Perpajakan;;;;;;
E-Learning Pengantar Pemeriksaan Bukti Permulaan;Pemeriksaan Pajak;;;;;;
E-learning Pengantar Pemeriksaan Bukti Permulaan (Open Access-Kemenkeu);Forensik Digital Perpajakan;;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Compliance Risk Management;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Ekstensifikasi;Advokasi Kebijakan Perpajakan;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Keberatan dan Banding;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Non Keberatan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pemeriksaan;Pemeriksaan Pajak;;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Penagihan;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pengawasan;Advokasi Kebijakan Perpajakan;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;
E-Learning Perpajakan untuk Pegawai Non DJP (Sekretariat Jenderal);Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-learning Proses Bisnis Compliance Risk Management;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;;
E-Learning Proses Bisnis Direktorat Jenderal Pajak untuk Pegawai Direktorat Jenderal Bea dan Cukai;Intelijen Perpajakan;Pelaksanaan Tindakan Penagihan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;
E-Learning Proses Bisnis DJP untuk Pegawai DJBC;Intelijen Perpajakan;Pelaksanaan Tindakan Penagihan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;
E-Learning Proses Bisnis Ekstensifikasi;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
E-learning Proses Bisnis Intelijen Perpajakan (Operational Intelligence);Intelijen Perpajakan;;;;;;
E-learning Proses Bisnis Keberatan dan Banding;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-learning Proses Bisnis Klaster Business Inteligence dan Compliance Risk Management;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;
E-learning Proses Bisnis Klaster Keberatan dan Non-Keberatan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Proses Bisnis Klaster Manajemen Data dan Informasi;Analisis Data;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;
E-learning Proses Bisnis Klaster Pemeriksaan;Pemeriksaan Pajak;;;;;;
E-learning Proses Bisnis Klaster Penagihan;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Proses Bisnis Non-Keberatan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;;
E-Learning Proses Bisnis Pemeriksaan;Pemeriksaan Pajak;;;;;;
E-Learning Proses Bisnis Penagihan;Pelaksanaan Tindakan Penagihan Pajak;Penatausahaan Penagihan Pajak;;;;;
E-Learning Proses Bisnis Prioritas Direktorat Jenderal Pajak untuk Pegawai Inspektorat Jenderal;Pelaksanaan Tindakan Penagihan Pajak;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;Penatausahaan Penagihan Pajak;;;
"Kemenkeu Corporate University Open Class (KCOC) ""Pemeriksaan dan Penegakan Hukum""";Pemeriksaan Pajak;;;;;;
Pelatihan Ahli Persidangan Forensik Digital Perpajakan (Blended Learning);Forensik Digital Perpajakan;Penanganan Keberatan-Non Keberatan;Penanganan Perkara;;;;
Pelatihan Fungsional Pemeriksa Ahli;Pemeriksaan Pajak;Tidak ditemukan;;;;;
Pelatihan Jarak Jauh Account Representative;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
Pelatihan Jarak Jauh Account Representative Kewilayahan;Analisis Kepatuhan Wajib Pajak;Analisis Potensi Pajak;Analisis Profil Risiko Wajib Pajak;Profiling Wajib Pajak;;;
